,1,2,3,4,5,6,7,8,9,10,11,12
2,0.5587050574369685,0.5977920334178726,0.6130091004028048,0.6916306131582873,0.6844696404594958,0.7193793823661048,0.7475757123675966,0.7650305833209011,0.7527972549604655,0.7490675816798449,0.7408623004624795,0.7331045800387886
4,0.5764583022527227,0.617037147545875,0.6617932269133224,0.7146054005669104,0.716544830672833,0.7483216470237207,0.7814411457556318,0.7832313889303297,0.7765179770252126,0.7769655378188871,0.7666716395643741,0.7683126958078472
8,0.5836192749515142,0.6453826644785917,0.6643294047441444,0.7143070267044607,0.7275846635834701,0.7620468446964046,0.7844248843801283,0.786364314486051,0.7872594360734,0.7812919588244069,0.7754736685066388,0.7721915560196927
16,0.6048038191854394,0.6406086826793973,0.6789497240041772,0.7254960465463225,0.7301208414142921,0.7663732657019245,0.791436670147695,0.7899448008354468,0.7900939877666716,0.7891988661793227,0.7800984633746084,0.7780098463374608
32,0.6091302401909593,0.6507533940026854,0.6911830523646129,0.7272862897210204,0.7350440101447113,0.7665224526331493,0.7966582127405639,0.7924809786662689,0.794867969565866,0.7881545576607489,0.7842756974489035,0.7789049679248098
64,0.6164403998209756,0.6553781888706549,0.6876025660152171,0.7331045800387886,0.7311651499328659,0.7648813963896762,0.7968073996717887,0.7930777263911681,0.7959122780844398,0.7915858570789199,0.7812919588244069,0.7799492764433835
128,0.6152469043711771,0.6597046098761749,0.6887960614650157,0.7350440101447113,0.7374310010443085,0.7706996867074444,0.7950171564970908,0.7918842309413695,0.7912874832164702,0.7896464269729971,0.7836789497240042,0.7798000895121587
256,0.6209160077577204,0.6582127405639266,0.6901387438460391,0.7338505146949127,0.7381769357004326,0.7723407429509175,0.7974041473966881,0.7932269133223929,0.7927793525287185,0.7905415485603461,0.7835297627927793,0.7790541548560346
512,0.6213635685513949,0.657914366701477,0.6898403699835894,0.7341488885573624,0.739519618081456,0.772788303744592,0.7975533343279129,0.7939728479785171,0.7921826048038192,0.7926301655974937,0.7842756974489035,0.7783082201999105
768,0.6191257645830225,0.6600029837386245,0.6899895569148142,0.735342384007161,0.7389228703565568,0.7723407429509175,0.798299268984037,0.794867969565866,0.7936744741160674,0.7886021184544234,0.7830822019991048,0.7798000895121587
769,0.516634342831568,0.516634342831568,0.516634342831568,0.516634342831568,0.516634342831568,0.516634342831568,0.516634342831568,0.516634342831568,0.516634342831568,0.516634342831568,0.5167835297627927,0.5167835297627927
