,1,2,3,4
2,0.6485987064983061,0.6144133045888512,0.627040344933785,0.6070218663381582
4,0.7092700954727441,0.7006467508469356,0.7040344933785032,0.6920234062211272
8,0.7720973206036341,0.7742531567600862,0.7739451801663073,0.7585463504773637
16,0.8296889436402833,0.8093624884508778,0.7933477055743764,0.8081305820757623
32,0.8512473052048044,0.8475515860794579,0.8361564521096396,0.8312288266091777
64,0.8694179242377579,0.8703418540190946,0.8524792115799199,0.8478595626732368
128,0.878965198644903,0.8755774561133354,0.8703418540190946,0.8651062519248537
256,0.8808130582075763,0.8848167539267016,0.8771173390822298,0.8743455497382199
512,0.8829688943640284,0.8808130582075763,0.8734216199568833,0.8755774561133354
384,0.8826609177702495,0.883892824145365,0.8758854327071143,0.8752694795195565
385,0.5343393902063444,0.5414228518632584,0.5297197412996613,0.6119494918386202
