,1,2,3,4,5,6,7,8,9,10,11,12
2,0.6646134893748075,0.6479827533107484,0.6590699106867878,0.6402833384662766,0.6559901447489991,0.6261164151524484,0.6547582383738836,0.6498306128734216,0.6455189405605174,0.6467508469356329,0.6116415152448413,0.6424391746227287
4,0.728980597474592,0.7188173698798891,0.7280566676932553,0.7194333230674469,0.7443794271635356,0.7083461656914074,0.7197412996612258,0.7292885740683708,0.7178934400985525,0.6843239913766553,0.716661533723437,0.7252848783492455
8,0.7884200800739144,0.7955035417308285,0.789344009855251,0.7834924545734524,0.784416384354789,0.7816445950107792,0.7834924545734524,0.7850323375423468,0.7782568524792116,0.7822605481983369,0.7764089929165383,0.7847243609485679
16,0.830304896827841,0.857098860486603,0.8370803818909763,0.8441638435478903,0.8358484755158608,0.8389282414536495,0.8392362180474284,0.8333846627656298,0.8244533415460426,0.8238373883584847,0.8198336926393595,0.8189097628580227
32,0.8731136433631044,0.8758854327071143,0.8688019710502002,0.8617185093932861,0.859562673236834,0.8694179242377579,0.8586387434554974,0.8506313520172467,0.8580227902679396,0.8598706498306129,0.8370803818909763,0.8407761010163227
64,0.8940560517400677,0.8968278410840776,0.888820449645827,0.8792731752386819,0.8829688943640284,0.8798891284262396,0.8826609177702495,0.878965198644903,0.8869725900831537,0.8721897135817678,0.8552510009239298,0.8660301817061903
128,0.8968278410840776,0.8931321219587312,0.89344009855251,0.8875885432707115,0.8906683092085002,0.8860486603018171,0.8912842623960578,0.890976285802279,0.8922081921773946,0.8854327071142594,0.8737295965506622,0.8771173390822298
256,0.8952879581151832,0.8986757006467508,0.8980597474591931,0.8980597474591931,0.8974437942716353,0.8971358176778564,0.9017554665845395,0.8943640283338467,0.8959039113027409,0.8906683092085002,0.8752694795195565,0.8798891284262396
512,0.9023714197720973,0.8995996304280874,0.9017554665845395,0.8968278410840776,0.9032953495534339,0.9039113027409917,0.9045272559285494,0.9039113027409917,0.8989836772405297,0.8952879581151832,0.8805050816137974,0.8823529411764706
768,0.9045272559285494,0.9036033261472128,0.8986757006467508,0.8995996304280874,0.9020634431783184,0.9017554665845395,0.9017554665845395,0.9020634431783184,0.9051432091161071,0.900523560209424,0.8891284262396058,0.8900523560209425
769,0.6427471512165075,0.6356636895595935,0.6008623344625809,0.578688019710502,0.5599014474899907,0.5441946412072682,0.542346781644595,0.5389590391130274,0.5260240221743148,0.5167847243609486,0.47274407145056974,0.5694487218971358
